segment_text,main_category,subcategory,combined_category,word_count,token_count,start_position,end_position,original_sentence,token_ids,segment_id
Avrei scritto di quei luoghi e di quell ’ esperienza.,UNLABELLED,UNLABELLED,UNLABELLED,9,11,247328,247379,Avrei scritto di quei luoghi e di quell’esperienza.,"['2806-1', '2806-2', '2806-3', '2806-4', '2806-5', '2806-6', '2806-7', '2806-8', '2806-9', '2806-10', '2806-11']",2912
"« Sto anzi scrivendo, » dissi « sto scrivendo … » Non mi ascoltava più.",UNLABELLED,UNLABELLED,UNLABELLED,10,17,247380,247449,Non mi ascoltava più.,"['2807-1', '2807-2', '2807-3', '2807-4', '2807-5', '2807-6', '2807-7', '2807-8', '2807-9', '2807-10', '2807-11', '2807-12', '2807-13', '2807-14', '2807-15', '2807-16', '2807-17']",2913
S ’ era distratto e la sua testa sembrava essersi rimpicciolita o soltanto affogata nel collo.,UNLABELLED,UNLABELLED,UNLABELLED,15,17,247450,247542,S’era distratto e la sua testa sembrava essersi rimpicciolita o soltanto affogata nel collo.,"['2808-1', '2808-2', '2808-3', '2808-4', '2808-5', '2808-6', '2808-7', '2808-8', '2808-9', '2808-10', '2808-11', '2808-12', '2808-13', '2808-14', '2808-15', '2808-16', '2808-17']",2914
"A voce più alta, già spazientito, ripetei: « Sto anzi scrivendo un lungo racconto ».",UNLABELLED,UNLABELLED,UNLABELLED,13,19,247543,247625,"A voce più alta, già spazientito, ripetei: «Sto anzi scrivendo un lungo racconto».","['2809-1', '2809-2', '2809-3', '2809-4', '2809-5', '2809-6', '2809-7', '2809-8', '2809-9', '2809-10', '2809-11', '2809-12', '2809-13', '2809-14', '2809-15', '2809-16', '2809-17', '2809-18', '2809-19']",2915
E accennai la trama: un ingegnere viene quaggiù e si ammala.,UNLABELLED,UNLABELLED,UNLABELLED,11,13,247626,247686,E accennai la trama: un ingegnere viene quaggiù e si ammala.,"['2810-1', '2810-2', '2810-3', '2810-4', '2810-5', '2810-6', '2810-7', '2810-8', '2810-9', '2810-10', '2810-11', '2810-12', '2810-13']",2916
Gli avevano descritto il paese come una fonte di ricchezze e lui vi trova soltanto la morte.,UNLABELLED,UNLABELLED,UNLABELLED,17,18,247687,247779,Gli avevano descritto il paese come una fonte di ricchezze e lui vi trova soltanto la morte.,"['2811-1', '2811-2', '2811-3', '2811-4', '2811-5', '2811-6', '2811-7', '2811-8', '2811-9', '2811-10', '2811-11', '2811-12', '2811-13', '2811-14', '2811-15', '2811-16', '2811-17', '2811-18']",2917
Disse cortesemente che era un bel tema.,UNLABELLED,UNLABELLED,UNLABELLED,7,8,247783,247822,Disse cortesemente che era un bel tema.,"['2812-1', '2812-2', '2812-3', '2812-4', '2812-5', '2812-6', '2812-7', '2812-8']",2918
"Incoraggiato, ripresi: « Pensavo che lei potrebbe consigliarmi circa la malattia da dare all ’ ingegnere.",UNLABELLED,UNLABELLED,UNLABELLED,14,19,247823,247925,"Incoraggiato, ripresi: «Pensavo che lei potrebbe consigliarmi circa la malattia da dare all’ingegnere.","['2813-1', '2813-2', '2813-3', '2813-4', '2813-5', '2813-6', '2813-7', '2813-8', '2813-9', '2813-10', '2813-11', '2813-12', '2813-13', '2813-14', '2813-15', '2813-16', '2813-17', '2813-18', '2813-19']",2919
Una malattia tropicale ».,UNLABELLED,UNLABELLED,UNLABELLED,3,5,247926,247950,Una malattia tropicale».,"['2814-1', '2814-2', '2814-3', '2814-4', '2814-5']",2920
"Qui tacqui, dovetti inspirare a lungo, poi dissi: « Forse, la lebbra ? ».",UNLABELLED,UNLABELLED,UNLABELLED,11,19,247951,248021,"Qui tacqui, dovetti inspirare a lungo, poi dissi: «Forse, la lebbra?».","['2815-1', '2815-2', '2815-3', '2815-4', '2815-5', '2815-6', '2815-7', '2815-8', '2815-9', '2815-10', '2815-11', '2815-12', '2815-13', '2815-14', '2815-15', '2815-16', '2815-17', '2815-18', '2815-19']",2921
Il dottore storse la bocca: « Sì » disse.,UNLABELLED,UNLABELLED,UNLABELLED,7,11,248025,248064,Il dottore storse la bocca: «Sì» disse.,"['2816-1', '2816-2', '2816-3', '2816-4', '2816-5', '2816-6', '2816-7', '2816-8', '2816-9', '2816-10', '2816-11']",2922
Non sembrava convinto.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,248065,248087,Non sembrava convinto.,"['2817-1', '2817-2', '2817-3', '2817-4']",2923
"Sentivo il cuore pulsarmi e speravo che il dottore non percepisse quei tonfi, come io nettamente li percepivo.",UNLABELLED,UNLABELLED,UNLABELLED,18,20,248088,248198,"Sentivo il cuore pulsarmi e speravo che il dottore non percepisse quei tonfi, come io nettamente li percepivo.","['2818-1', '2818-2', '2818-3', '2818-4', '2818-5', '2818-6', '2818-7', '2818-8', '2818-9', '2818-10', '2818-11', '2818-12', '2818-13', '2818-14', '2818-15', '2818-16', '2818-17', '2818-18', '2818-19', '2818-20']",2924
"Gli chiesi, allora, se aveva un libro da prestarmi sull ’ argomento.",UNLABELLED,UNLABELLED,UNLABELLED,11,15,248199,248265,"Gli chiesi, allora, se aveva un libro da prestarmi sull’argomento.","['2819-1', '2819-2', '2819-3', '2819-4', '2819-5', '2819-6', '2819-7', '2819-8', '2819-9', '2819-10', '2819-11', '2819-12', '2819-13', '2819-14', '2819-15']",2925
« Credo di aver qualcosa » ma non si mosse.,UNLABELLED,UNLABELLED,UNLABELLED,8,11,248269,248310,«Credo di aver qualcosa» ma non si mosse.,"['2820-1', '2820-2', '2820-3', '2820-4', '2820-5', '2820-6', '2820-7', '2820-8', '2820-9', '2820-10', '2820-11']",2926
"Restò a osservarmi e ancora spinse lo sguardo verso la strada, meditando una fuga impossibile.",UNLABELLED,UNLABELLED,UNLABELLED,15,17,248311,248405,"Restò a osservarmi e ancora spinse lo sguardo verso la strada, meditando una fuga impossibile.","['2821-1', '2821-2', '2821-3', '2821-4', '2821-5', '2821-6', '2821-7', '2821-8', '2821-9', '2821-10', '2821-11', '2821-12', '2821-13', '2821-14', '2821-15', '2821-16', '2821-17']",2927
Forse non s ’ era mai levato da quella sedia a sdraio.,UNLABELLED,UNLABELLED,UNLABELLED,11,13,248406,248458,Forse non s’era mai levato da quella sedia a sdraio.,"['2822-1', '2822-2', '2822-3', '2822-4', '2822-5', '2822-6', '2822-7', '2822-8', '2822-9', '2822-10', '2822-11', '2822-12', '2822-13']",2928
"Mi ascoltava con un orecchio e si abbandonava sulla tela, rilassandosi.",UNLABELLED,UNLABELLED,UNLABELLED,11,13,248459,248530,"Mi ascoltava con un orecchio e si abbandonava sulla tela, rilassandosi.","['2823-1', '2823-2', '2823-3', '2823-4', '2823-5', '2823-6', '2823-7', '2823-8', '2823-9', '2823-10', '2823-11', '2823-12', '2823-13']",2929
Pensai che la sedia avrebbe ceduto.,UNLABELLED,UNLABELLED,UNLABELLED,6,7,248531,248566,Pensai che la sedia avrebbe ceduto.,"['2824-1', '2824-2', '2824-3', '2824-4', '2824-5', '2824-6', '2824-7']",2930
"« Io immagino, » dissi « che il mio ingegnere si infetti dormendo nel letto di un indigeno.",UNLABELLED,UNLABELLED,UNLABELLED,15,20,248567,248655,"«Io immagino,» dissi «che il mio ingegnere si infetti dormendo nel letto di un indigeno.","['2825-1', '2825-2', '2825-3', '2825-4', '2825-5', '2825-6', '2825-7', '2825-8', '2825-9', '2825-10', '2825-11', '2825-12', '2825-13', '2825-14', '2825-15', '2825-16', '2825-17', '2825-18', '2825-19', '2825-20']",2931
Può accadere ? »,UNLABELLED,UNLABELLED,UNLABELLED,2,4,248656,248670,Può accadere?»,"['2826-1', '2826-2', '2826-3', '2826-4']",2932
Accennò all ’ ereditarietà e al contagio.,UNLABELLED,UNLABELLED,UNLABELLED,6,8,248674,248713,Accennò all’ereditarietà e al contagio.,"['2827-1', '2827-2', '2827-3', '2827-4', '2827-5', '2827-6', '2827-7', '2827-8']",2933
Tutti ammettevano il contagio.,UNLABELLED,UNLABELLED,UNLABELLED,4,5,248714,248744,Tutti ammettevano il contagio.,"['2828-1', '2828-2', '2828-3', '2828-4', '2828-5']",2934
"Sorridendo (un sorriso infantile che accentuava la sua corpulenza), aggiunse: « Si diventa lebbrosi come si diventa tiranni: ereditarietà o contagio ».",UNLABELLED,UNLABELLED,UNLABELLED,20,28,248745,248894,"Sorridendo (un sorriso infantile che accentuava la sua corpulenza), aggiunse: «Si diventa lebbrosi come si diventa tiranni: ereditarietà o contagio».","['2829-1', '2829-2', '2829-3', '2829-4', '2829-5', '2829-6', '2829-7', '2829-8', '2829-9', '2829-10', '2829-11', '2829-12', '2829-13', '2829-14', '2829-15', '2829-16', '2829-17', '2829-18', '2829-19', '2829-20', '2829-21', '2829-22', '2829-23', '2829-24', '2829-25', '2829-26', '2829-27', '2829-28']",2935
Riuscii a ridere.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,248898,248915,Riuscii a ridere.,"['2830-1', '2830-2', '2830-3', '2830-4']",2936
« E basterà che il mio ingegnere dorma una notte nella casa di un indigeno ? »,UNLABELLED,UNLABELLED,UNLABELLED,14,17,248916,248991,«E basterà che il mio ingegnere dorma una notte nella casa di un indigeno?»,"['2831-1', '2831-2', '2831-3', '2831-4', '2831-5', '2831-6', '2831-7', '2831-8', '2831-9', '2831-10', '2831-11', '2831-12', '2831-13', '2831-14', '2831-15', '2831-16', '2831-17']",2937
Lo dissi con voce così calma che ne fui meravigliato.,UNLABELLED,UNLABELLED,UNLABELLED,10,11,248992,249045,Lo dissi con voce così calma che ne fui meravigliato.,"['2832-1', '2832-2', '2832-3', '2832-4', '2832-5', '2832-6', '2832-7', '2832-8', '2832-9', '2832-10', '2832-11']",2938
"Ormai distratto, rispose che avrebbe potuto dirmelo visitando prima l ’ indigeno.",UNLABELLED,UNLABELLED,UNLABELLED,11,14,249046,249125,"Ormai distratto, rispose che avrebbe potuto dirmelo visitando prima l’indigeno.","['2833-1', '2833-2', '2833-3', '2833-4', '2833-5', '2833-6', '2833-7', '2833-8', '2833-9', '2833-10', '2833-11', '2833-12', '2833-13', '2833-14']",2939
"Con un tremolio nella voce, aggiunse: « O il suo ingegnere ».",UNLABELLED,UNLABELLED,UNLABELLED,10,15,249126,249185,"Con un tremolio nella voce, aggiunse: «O il suo ingegnere».","['2834-1', '2834-2', '2834-3', '2834-4', '2834-5', '2834-6', '2834-7', '2834-8', '2834-9', '2834-10', '2834-11', '2834-12', '2834-13', '2834-14', '2834-15']",2940
"Adesso mi guardava con altri occhi, c ’ era qualcosa nel suo sguardo che mi inquietava.",UNLABELLED,UNLABELLED,UNLABELLED,15,18,249189,249274,"Adesso mi guardava con altri occhi, c’era qualcosa nel suo sguardo che mi inquietava.","['2835-1', '2835-2', '2835-3', '2835-4', '2835-5', '2835-6', '2835-7', '2835-8', '2835-9', '2835-10', '2835-11', '2835-12', '2835-13', '2835-14', '2835-15', '2835-16', '2835-17', '2835-18']",2941
Forse ironia.,UNLABELLED,UNLABELLED,UNLABELLED,2,3,249275,249288,Forse ironia.,"['2836-1', '2836-2', '2836-3']",2942
Perciò la sua voce aveva avuto quel gorgoglìo ?,UNLABELLED,UNLABELLED,UNLABELLED,8,9,249289,249335,Perciò la sua voce aveva avuto quel gorgoglìo?,"['2837-1', '2837-2', '2837-3', '2837-4', '2837-5', '2837-6', '2837-7', '2837-8', '2837-9']",2943
Davvero doveva credere alla storia dell ’ ingegnere ?,UNLABELLED,UNLABELLED,UNLABELLED,7,9,249336,249386,Davvero doveva credere alla storia dell’ingegnere?,"['2838-1', '2838-2', '2838-3', '2838-4', '2838-5', '2838-6', '2838-7', '2838-8', '2838-9']",2944
Restai un attimo incerto.,UNLABELLED,UNLABELLED,UNLABELLED,4,5,249387,249412,Restai un attimo incerto.,"['2839-1', '2839-2', '2839-3', '2839-4', '2839-5']",2945
"Suvvia, s ’ era così blandamente riaffondato nella sua sedia a sdraio !",UNLABELLED,UNLABELLED,UNLABELLED,11,14,249413,249481,"Suvvia, s’era così blandamente riaffondato nella sua sedia a sdraio!","['2840-1', '2840-2', '2840-3', '2840-4', '2840-5', '2840-6', '2840-7', '2840-8', '2840-9', '2840-10', '2840-11', '2840-12', '2840-13', '2840-14']",2946
"Non chiedeva niente all ’ Africa, se non di essere lasciato in pace.",Conqueror,UNLABELLED,Conqueror,12,15,249482,249548,"Non chiedeva niente all’Africa, se non di essere lasciato in pace.","['2841-1', '2841-2', '2841-3', '2841-4', '2841-5', '2841-6', '2841-7', '2841-8', '2841-9', '2841-10', '2841-11', '2841-12', '2841-13', '2841-14', '2841-15']",2947
"Infine disse che, se volevo il libro, sarebbe andato a prenderlo.",UNLABELLED,UNLABELLED,UNLABELLED,11,14,249549,249614,"Infine disse che, se volevo il libro, sarebbe andato a prenderlo.","['2842-1', '2842-2', '2842-3', '2842-4', '2842-5', '2842-6', '2842-7', '2842-8', '2842-9', '2842-10', '2842-11', '2842-12', '2842-13', '2842-14']",2948
"Pesantemente entrò nella baracca e ne uscì poco dopo tenendo tra le mani uno smilzo libretto, ma invece di darmelo, sedette, cominciò a sfogliarlo e un lungo silenzio seguì.",UNLABELLED,UNLABELLED,UNLABELLED,29,33,249615,249788,"Pesantemente entrò nella baracca e ne uscì poco dopo tenendo tra le mani uno smilzo libretto, ma invece di darmelo, sedette, cominciò a sfogliarlo e un lungo silenzio seguì.","['2843-1', '2843-2', '2843-3', '2843-4', '2843-5', '2843-6', '2843-7', '2843-8', '2843-9', '2843-10', '2843-11', '2843-12', '2843-13', '2843-14', '2843-15', '2843-16', '2843-17', '2843-18', '2843-19', '2843-20', '2843-21', '2843-22', '2843-23', '2843-24', '2843-25', '2843-26', '2843-27', '2843-28', '2843-29', '2843-30', '2843-31', '2843-32', '2843-33']",2949
Ora mi rimproveravo la mia leggerezza.,UNLABELLED,UNLABELLED,UNLABELLED,6,7,249789,249827,Ora mi rimproveravo la mia leggerezza.,"['2844-1', '2844-2', '2844-3', '2844-4', '2844-5', '2844-6', '2844-7']",2950
"Lentamente, staccai dalla giubba il distintivo della divisione.",UNLABELLED,UNLABELLED,UNLABELLED,8,10,249828,249891,"Lentamente, staccai dalla giubba il distintivo della divisione.","['2845-1', '2845-2', '2845-3', '2845-4', '2845-5', '2845-6', '2845-7', '2845-8', '2845-9', '2845-10']",2951
"Non si accorse di nulla, leggeva, s ’ era persino dimenticato di me.",UNLABELLED,UNLABELLED,UNLABELLED,12,16,249892,249958,"Non si accorse di nulla, leggeva, s’era persino dimenticato di me.","['2846-1', '2846-2', '2846-3', '2846-4', '2846-5', '2846-6', '2846-7', '2846-8', '2846-9', '2846-10', '2846-11', '2846-12', '2846-13', '2846-14', '2846-15', '2846-16']",2952
« Il suo ingegnere » disse improvvisamente « ha dormito nella casa di un indigeno affetto da lebbra ? »,UNLABELLED,UNLABELLED,UNLABELLED,15,20,249959,250057,«Il suo ingegnere» disse improvvisamente «ha dormito nella casa di un indigeno affetto da lebbra?»,"['2847-1', '2847-2', '2847-3', '2847-4', '2847-5', '2847-6', '2847-7', '2847-8', '2847-9', '2847-10', '2847-11', '2847-12', '2847-13', '2847-14', '2847-15', '2847-16', '2847-17', '2847-18', '2847-19', '2847-20']",2953
Sobbalzai.,UNLABELLED,UNLABELLED,UNLABELLED,1,2,250061,250071,Sobbalzai.,"['2848-1', '2848-2']",2954
"« Sì » risposi, pronto come un testimonio.",UNLABELLED,UNLABELLED,UNLABELLED,6,10,250072,250112,"«Sì» risposi, pronto come un testimonio.","['2849-1', '2849-2', '2849-3', '2849-4', '2849-5', '2849-6', '2849-7', '2849-8', '2849-9', '2849-10']",2955
« Ha dormito nel letto del malato ? »,UNLABELLED,UNLABELLED,UNLABELLED,6,9,250116,250150,«Ha dormito nel letto del malato?»,"['2850-1', '2850-2', '2850-3', '2850-4', '2850-5', '2850-6', '2850-7', '2850-8', '2850-9']",2956
(Perché parlava come se il fatto fosse realmente accaduto ?,UNLABELLED,UNLABELLED,UNLABELLED,9,11,250151,250209,(Perché parlava come se il fatto fosse realmente accaduto?,"['2851-1', '2851-2', '2851-3', '2851-4', '2851-5', '2851-6', '2851-7', '2851-8', '2851-9', '2851-10', '2851-11']",2957
"Si trattava di una finzione, di un racconto.)",UNLABELLED,UNLABELLED,UNLABELLED,8,11,250210,250255,"Si trattava di una finzione, di un racconto.)","['2852-1', '2852-2', '2852-3', '2852-4', '2852-5', '2852-6', '2852-7', '2852-8', '2852-9', '2852-10', '2852-11']",2958
Risposi con un cenno.,UNLABELLED,UNLABELLED,UNLABELLED,4,5,250256,250277,Risposi con un cenno.,"['2853-1', '2853-2', '2853-3', '2853-4', '2853-5']",2959
"« Mi sembra ingenuo, » continuò « far dormire un ingegnere nel letto di un abissino. »",UNLABELLED,UNLABELLED,UNLABELLED,13,19,250278,250360,"«Mi sembra ingenuo,» continuò «far dormire un ingegnere nel letto di un abissino.»","['2854-1', '2854-2', '2854-3', '2854-4', '2854-5', '2854-6', '2854-7', '2854-8', '2854-9', '2854-10', '2854-11', '2854-12', '2854-13', '2854-14', '2854-15', '2854-16', '2854-17', '2854-18', '2854-19']",2960
Sempre più mi rimproveravo di aver scelto quel pretesto.,UNLABELLED,UNLABELLED,UNLABELLED,9,10,250364,250420,Sempre più mi rimproveravo di aver scelto quel pretesto.,"['2855-1', '2855-2', '2855-3', '2855-4', '2855-5', '2855-6', '2855-7', '2855-8', '2855-9', '2855-10']",2961
"Tacevo, aspettando che si decidesse a consegnarmi il libro.",UNLABELLED,UNLABELLED,UNLABELLED,9,11,250421,250480,"Tacevo, aspettando che si decidesse a consegnarmi il libro.","['2856-1', '2856-2', '2856-3', '2856-4', '2856-5', '2856-6', '2856-7', '2856-8', '2856-9', '2856-10', '2856-11']",2962
Ma insisteva: « Lei ha mai visto un letto abissino ? ».,UNLABELLED,UNLABELLED,UNLABELLED,9,14,250481,250533,Ma insisteva: «Lei ha mai visto un letto abissino?».,"['2857-1', '2857-2', '2857-3', '2857-4', '2857-5', '2857-6', '2857-7', '2857-8', '2857-9', '2857-10', '2857-11', '2857-12', '2857-13', '2857-14']",2963
"Poiché pazientemente gli risposi che ne avevo visti, chiese se ritenevo che al mondo esistesse un ingegnere disposto a dormirvi.",UNLABELLED,UNLABELLED,UNLABELLED,20,22,250537,250665,"Poiché pazientemente gli risposi che ne avevo visti, chiese se ritenevo che al mondo esistesse un ingegnere disposto a dormirvi.","['2858-1', '2858-2', '2858-3', '2858-4', '2858-5', '2858-6', '2858-7', '2858-8', '2858-9', '2858-10', '2858-11', '2858-12', '2858-13', '2858-14', '2858-15', '2858-16', '2858-17', '2858-18', '2858-19', '2858-20', '2858-21', '2858-22']",2964
Forse voleva soltanto esercitare una critica verista.,Conqueror,UNLABELLED,Conqueror,7,8,250669,250722,Forse voleva soltanto esercitare una critica verista.,"['2859-1', '2859-2', '2859-3', '2859-4', '2859-5', '2859-6', '2859-7', '2859-8']",2965
« È un ’ ipotesi letteraria » dissi.,UNLABELLED,UNLABELLED,UNLABELLED,5,9,250723,250755,«È un’ipotesi letteraria» dissi.,"['2860-1', '2860-2', '2860-3', '2860-4', '2860-5', '2860-6', '2860-7', '2860-8', '2860-9']",2966
"Ne conveniva, ma poiché s ’ era nel campo delle ipotesi, tanto valeva far dormire l ’ ingegnere nella casa di una indigena.",UNLABELLED,UNLABELLED,UNLABELLED,21,26,250756,250875,"Ne conveniva, ma poiché s’era nel campo delle ipotesi, tanto valeva far dormire l’ingegnere nella casa di una indigena.","['2861-1', '2861-2', '2861-3', '2861-4', '2861-5', '2861-6', '2861-7', '2861-8', '2861-9', '2861-10', '2861-11', '2861-12', '2861-13', '2861-14', '2861-15', '2861-16', '2861-17', '2861-18', '2861-19', '2861-20', '2861-21', '2861-22', '2861-23', '2861-24', '2861-25', '2861-26']",2967
Gli feci osservare che poteva sembrare un pretesto abusato.,UNLABELLED,UNLABELLED,UNLABELLED,9,10,250876,250935,Gli feci osservare che poteva sembrare un pretesto abusato.,"['2862-1', '2862-2', '2862-3', '2862-4', '2862-5', '2862-6', '2862-7', '2862-8', '2862-9', '2862-10']",2968
Sorrise e disse che era per lo meno il più plausibile.,UNLABELLED,UNLABELLED,UNLABELLED,11,12,250936,250990,Sorrise e disse che era per lo meno il più plausibile.,"['2863-1', '2863-2', '2863-3', '2863-4', '2863-5', '2863-6', '2863-7', '2863-8', '2863-9', '2863-10', '2863-11', '2863-12']",2969
"« Sì, il più plausibile » ripeté.",UNLABELLED,UNLABELLED,UNLABELLED,5,9,250991,251022,"«Sì, il più plausibile» ripeté.","['2864-1', '2864-2', '2864-3', '2864-4', '2864-5', '2864-6', '2864-7', '2864-8', '2864-9']",2970
"Insistetti, allora, sul tema di un ingegnere che va in una terra promessa e vi trova soltanto la morte.",UNLABELLED,UNLABELLED,UNLABELLED,19,22,251026,251129,"Insistetti, allora, sul tema di un ingegnere che va in una terra promessa e vi trova soltanto la morte.","['2865-1', '2865-2', '2865-3', '2865-4', '2865-5', '2865-6', '2865-7', '2865-8', '2865-9', '2865-10', '2865-11', '2865-12', '2865-13', '2865-14', '2865-15', '2865-16', '2865-17', '2865-18', '2865-19', '2865-20', '2865-21', '2865-22']",2971
Non importava come.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,251130,251149,Non importava come.,"['2866-1', '2866-2', '2866-3', '2866-4']",2972
Era una questione secondaria.,UNLABELLED,UNLABELLED,UNLABELLED,4,5,251150,251179,Era una questione secondaria.,"['2867-1', '2867-2', '2867-3', '2867-4', '2867-5']",2973
"Parlavo, cercando di placare l ’ ansia; ora avrei voluto andarmene, ma una mia fuga avrebbe fatto nascere o confermare i suoi sospetti.",UNLABELLED,UNLABELLED,UNLABELLED,22,27,251180,251313,"Parlavo, cercando di placare l’ansia; ora avrei voluto andarmene, ma una mia fuga avrebbe fatto nascere o confermare i suoi sospetti.","['2868-1', '2868-2', '2868-3', '2868-4', '2868-5', '2868-6', '2868-7', '2868-8', '2868-9', '2868-10', '2868-11', '2868-12', '2868-13', '2868-14', '2868-15', '2868-16', '2868-17', '2868-18', '2868-19', '2868-20', '2868-21', '2868-22', '2868-23', '2868-24', '2868-25', '2868-26', '2868-27']",2974
"E intanto il dottore si lisciava i baffi, sereno; poi, con voce improvvisamente grave, disse che « l ’ ingegnere » (e qui mi parve che calcasse le parole, per significare che stava al mio giuoco ma che l ’ avrebbe dominato), che « l ’ ingegnere » sarebbe morto dopo molto tempo.",Conqueror,UNLABELLED,Conqueror,46,62,251314,251582,"E intanto il dottore si lisciava i baffi, sereno; poi, con voce improvvisamente grave, disse che «l’ingegnere» (e qui mi parve che calcasse le parole, per significare che stava al mio giuoco ma che l’avrebbe dominato), che «l’ingegnere» sarebbe morto dopo molto tempo.","['2869-1', '2869-2', '2869-3', '2869-4', '2869-5', '2869-6', '2869-7', '2869-8', '2869-9', '2869-10', '2869-11', '2869-12', '2869-13', '2869-14', '2869-15', '2869-16', '2869-17', '2869-18', '2869-19', '2869-20', '2869-21', '2869-22', '2869-23', '2869-24', '2869-25', '2869-26', '2869-27', '2869-28', '2869-29', '2869-30', '2869-31', '2869-32', '2869-33', '2869-34', '2869-35', '2869-36', '2869-37', '2869-38', '2869-39', '2869-40', '2869-41', '2869-42', '2869-43', '2869-44', '2869-45', '2869-46', '2869-47', '2869-48', '2869-49', '2869-50', '2869-51', '2869-52', '2869-53', '2869-54', '2869-55', '2869-56', '2869-57', '2869-58', '2869-59', '2869-60', '2869-61', '2869-62']",2975
"Si mise a sfogliare il libretto, ma non trovava il paragrafo che voleva citare, o forse fingeva di non trovarlo.",Conqueror,UNLABELLED,Conqueror,20,23,251583,251695,"Si mise a sfogliare il libretto, ma non trovava il paragrafo che voleva citare, o forse fingeva di non trovarlo.","['2870-1', '2870-2', '2870-3', '2870-4', '2870-5', '2870-6', '2870-7', '2870-8', '2870-9', '2870-10', '2870-11', '2870-12', '2870-13', '2870-14', '2870-15', '2870-16', '2870-17', '2870-18', '2870-19', '2870-20', '2870-21', '2870-22', '2870-23']",2976
"Soltanto dopo un interminabile silenzio (si leccava le dita per sfogliare le pagine e ricominciava sempre daccapo), vi riuscì.",UNLABELLED,UNLABELLED,UNLABELLED,19,23,251696,251822,"Soltanto dopo un interminabile silenzio (si leccava le dita per sfogliare le pagine e ricominciava sempre daccapo), vi riuscì.","['2871-1', '2871-2', '2871-3', '2871-4', '2871-5', '2871-6', '2871-7', '2871-8', '2871-9', '2871-10', '2871-11', '2871-12', '2871-13', '2871-14', '2871-15', '2871-16', '2871-17', '2871-18', '2871-19', '2871-20', '2871-21', '2871-22', '2871-23']",2977
"« Qui dice che malati gravissimi possono mantenersi in vita per venti, trenta, sessanta anni, sino a che una malattia ricorrente od occasionale non ponga fine alle loro sofferenze. »",UNLABELLED,UNLABELLED,UNLABELLED,28,34,251823,252003,"«Qui dice che malati gravissimi possono mantenersi in vita per venti, trenta, sessanta anni, sino a che una malattia ricorrente od occasionale non ponga fine alle loro sofferenze.»","['2872-1', '2872-2', '2872-3', '2872-4', '2872-5', '2872-6', '2872-7', '2872-8', '2872-9', '2872-10', '2872-11', '2872-12', '2872-13', '2872-14', '2872-15', '2872-16', '2872-17', '2872-18', '2872-19', '2872-20', '2872-21', '2872-22', '2872-23', '2872-24', '2872-25', '2872-26', '2872-27', '2872-28', '2872-29', '2872-30', '2872-31', '2872-32', '2872-33', '2872-34']",2978
Ancora si lisciò i baffi.,UNLABELLED,UNLABELLED,UNLABELLED,5,6,252004,252029,Ancora si lisciò i baffi.,"['2873-1', '2873-2', '2873-3', '2873-4', '2873-5', '2873-6']",2979
"« Quindi, » concluse « il suo ingegnere vivrà a lungo in questa terra promessa.",UNLABELLED,UNLABELLED,UNLABELLED,12,17,252030,252106,"«Quindi,» concluse «il suo ingegnere vivrà a lungo in questa terra promessa.","['2874-1', '2874-2', '2874-3', '2874-4', '2874-5', '2874-6', '2874-7', '2874-8', '2874-9', '2874-10', '2874-11', '2874-12', '2874-13', '2874-14', '2874-15', '2874-16', '2874-17']",2980
"Non avendo saputo rinunciare all ’ ospitalità indigena per una notte, l ’ accetterà suo malgrado per sempre. »",UNLABELLED,UNLABELLED,UNLABELLED,16,21,252107,252212,"Non avendo saputo rinunciare all’ospitalità indigena per una notte, l’accetterà suo malgrado per sempre.»","['2875-1', '2875-2', '2875-3', '2875-4', '2875-5', '2875-6', '2875-7', '2875-8', '2875-9', '2875-10', '2875-11', '2875-12', '2875-13', '2875-14', '2875-15', '2875-16', '2875-17', '2875-18', '2875-19', '2875-20', '2875-21']",2981
Poi continuò sorridendo: « A meno che il suo ingegnere non si decida a seguire un vecchio rito indigeno ».,UNLABELLED,UNLABELLED,UNLABELLED,18,22,252213,252317,Poi continuò sorridendo: «A meno che il suo ingegnere non si decida a seguire un vecchio rito indigeno».,"['2876-1', '2876-2', '2876-3', '2876-4', '2876-5', '2876-6', '2876-7', '2876-8', '2876-9', '2876-10', '2876-11', '2876-12', '2876-13', '2876-14', '2876-15', '2876-16', '2876-17', '2876-18', '2876-19', '2876-20', '2876-21', '2876-22']",2982
"Mi assalì una sciocca speranza e, troppo in fretta, chiesi: « Quale ? ».",UNLABELLED,UNLABELLED,UNLABELLED,11,18,252321,252390,"Mi assalì una sciocca speranza e, troppo in fretta, chiesi: «Quale?».","['2877-1', '2877-2', '2877-3', '2877-4', '2877-5', '2877-6', '2877-7', '2877-8', '2877-9', '2877-10', '2877-11', '2877-12', '2877-13', '2877-14', '2877-15', '2877-16', '2877-17', '2877-18']",2983
